xfood        w_bread    w_meat     w_fish     w_milk     w_eggs      w_fat    w_butter     w_oil    w_fruits     w_veg    w_potato    w_sugar   w_noalko    p_bread    p_meat     p_fish     w_milk     p_eggs      p_fat    p_butter     p_oil     p_fruits     p_veg     p_potato    p_sugar   p_noalko  
  287,24000    0,20648    0,19193    0,06886    0,08623    0,02576    0,04230    0,02012    0,07175    0,04341    0,05974    0,03255    0,11165    0,03920  100,00000  100,00000  100,00000  100,00000 100,00000   100,00000  100,00000  100,00000   100,00000   100,00000  100,00000  100,00000  100,00000
  321,17000    0,20687    0,19943    0,06760    0,07974    0,02818    0,03369    0,02450    0,05956    0,04337    0,06442    0,03406    0,10870    0,04988  114,80000   96,50000  106,10000  110,90000 116,50000    83,50000  112,90000   96,70000   116,60000   109,30000  109,30000  105,50000  101,70000
  406,54000    0,20837    0,22074    0,07433    0,07805    0,02789    0,03636    0,02462    0,05837    0,04386    0,05451    0,02152    0,09955    0,05183  134,43080  121,78300  120,10520  128,97670 138,05250   131,84650  118,77080  103,27560   124,52880    70,17060   70,17060  113,41250  104,95440
  553,77000    0,15889    0,25084    0,08417    0,08148    0,02752    0,03825    0,02349    0,05109    0,05011    0,06105    0,02393    0,09574    0,05343  132,95206  158,68325  155,89655  165,09018 156,82764   189,19973  135,16117  114,11954   150,18173    64,34644   64,34644  124,30010  112,82598
  614,10000    0,15204    0,25695    0,08640    0,08391    0,01980    0,03107    0,02324    0,04097    0,05931    0,06131    0,03320    0,09526    0,05654  143,45527  163,91980  166,02983  180,60865 136,44005   149,65698  145,02794  106,13117   207,25079    67,43507   67,43507  135,61141  119,93402
  719,26000    0,15196    0,25889    0,08192    0,09143    0,02263    0,02188    0,02429    0,04373    0,06779    0,06585    0,02882    0,08078    0,06003  163,82592  168,01779  173,16911  226,30264 177,23562   118,22902  176,64403  132,66396   287,66410    73,43679   73,43679  146,59593  129,40880
 1050,91000    0,14928    0,26234    0,08246    0,08958    0,02200    0,02736    0,02414    0,05053    0,06801    0,06788    0,02507    0,07485    0,05649  218,37996  234,21680  207,11025  298,26688 244,58516   219,07837  224,69120  211,33369   481,83736    97,74437   97,74437  180,31300  152,57298
 1122,24000    0,16211    0,24851    0,07876    0,09281    0,02231    0,02892    0,02892    0,04029    0,06810    0,06142    0,02329    0,08307    0,06148  245,89583  261,85438  258,88782  332,26931 253,63481   271,43810  283,78499  187,24165   543,51255    79,85715   79,85715  219,62123  197,73458
 1296,41000    0,15888    0,23783    0,07099    0,10165    0,02146    0,02370    0,03170    0,03862    0,06631    0,06756    0,03134    0,09158    0,05838  276,14102  267,09147  272,09109  421,31748 259,97568   232,07958  365,23128  211,58307   571,23169    91,43644   91,43644  267,71828  215,72843
 1459,43000    0,16537    0,22978    0,06764    0,10528    0,01954    0,02008    0,03181    0,04469    0,07006    0,06720    0,02936    0,09067    0,05851  317,56217  283,11696  289,77702  442,80467 220,19940   199,82051  397,37163  249,66802   610,07544    84,94445   84,94445  297,16729  235,79117
 1510,29000    0,15982    0,24682    0,07241    0,10979    0,02243    0,02272    0,03211    0,04374    0,07377    0,05685    0,01476    0,08254    0,06223  311,21093  303,21826  301,36810  441,91906 219,53880   222,99969  398,56375  250,66669   576,52129    45,87000   45,87000  311,72849  257,48396
 1588,73000    0,15845    0,24284    0,07347    0,11329    0,02303    0,02284    0,03251    0,04147    0,07022    0,06103    0,02127    0,07826    0,06133  314,63425  297,45712  289,61474  432,19684 209,22048   220,32370  399,36087  247,40802   507,33874    40,50321   40,50321  313,91059  263,14861
 1720,84000    0,16423    0,23420    0,07013    0,11221    0,02290    0,02138    0,03355    0,03877    0,06882    0,06246    0,02293    0,08665    0,06177  425,07087  379,25782  397,35142  485,78925 283,07531   289,06469  436,10207  315,19782   790,94109    36,20987   36,20987  397,41081  339,19856
 2144,27000    0,18847    0,22027    0,06292    0,10439    0,02815    0,02194    0,03005    0,04873    0,06389    0,06265    0,01665    0,08340    0,06848  614,65247  464,59083  565,82843  607,23656 451,22204   371,44813  563,44388  502,42533  1172,17470    60,36186   60,36186  586,18094  535,25532
 2295,94000    0,18752    0,21996    0,05925    0,10633    0,02275    0,01923    0,03161    0,04729    0,06803    0,06403    0,01701    0,08829    0,06871  653,37558  487,82038  579,40831  722,61151 407,90472   333,93187  730,22327  549,65331  1095,98334    43,09836   43,09836  632,48923  553,45400
 2805,63000    0,17898    0,23074    0,06430    0,11234    0,02369    0,02049    0,03531    0,04035    0,06985    0,05892    0,01673    0,08493    0,06336  723,28677  631,23957  582,30535  865,68859 494,38052   522,26944  880,64926  571,08979  1474,09760    53,74366   53,74366  684,35335  589,42851
 3279,03000    0,17234    0,24478    0,06518    0,11675    0,02672    0,02137    0,03358    0,03569    0,06756    0,06243    0,01571    0,07628    0,06160  825,27020  690,57608  647,52355  947,06332 447,41437   544,72703  968,71419  584,79594  1223,50100    68,68440   68,68440  716,51796  622,43651
